62	[(5, 0.031756340426631065), (12, 0.83142151024234245), (27, 0.11202590705350984)]
63	[(12, 0.94971263618687707)]
64	[(0, 0.22082686374862892), (12, 0.71962430404991795), (26, 0.030254888717076142)]
65	[(12, 0.97765485093999205)]
66	[(10, 0.34873028277535628), (12, 0.61496256902896296), (19, 0.019078615572686069)]
67	[(5, 0.050346126259105846), (9, 0.026582498240128875), (14, 0.016665320611651154), (18, 0.12892841372303654), (22, 0.040456337174641553), (32, 0.66600239787846638), (43, 0.052986212727009575)]
68	[(10, 0.21607626635095983), (16, 0.15056442294945946), (26, 0.19478609146858908), (34, 0.25068367945931158), (48, 0.149463109236672)]
69	[(0, 0.028216541734212387), (1, 0.013356623162046824), (2, 0.25435437439730141), (4, 0.42730149521925376), (8, 0.040184559823426599), (9, 0.067639524237125187), (13, 0.036077998013752478), (14, 0.019422821651352753), (22, 0.027231478061867962), (35, 0.025389961180657145), (45, 0.04163051566333667)]
70	[(0, 0.013290315273917117), (1, 0.056465873251390394), (4, 0.16481880076570091), (5, 0.017251806488921603), (9, 0.58585008685952655), (13, 0.039414485858227516), (22, 0.048465116294764361), (43, 0.016789556335404833), (45, 0.052256660293460176)]
71	[(1, 0.041438389867259971), (4, 0.15260345501378858), (9, 0.36033992808566678), (22, 0.014879539776985454), (43, 0.42188731186395723)]
72	[(4, 0.13053123083719642), (9, 0.6435078782586271), (13, 0.19041050868819145), (35, 0.01943027447590822)]
73	[(0, 0.014934611506323706), (4, 0.1855741307311653), (5, 0.61307652194136086), (9, 0.026036452315390445), (11, 0.019898218946526009), (26, 0.078186496957368956), (27, 0.026858970362392948), (35, 0.01779318139893463)]
74	[(4, 0.094692186677573065), (8, 0.075733631513897351), (10, 0.049463778732866892), (35, 0.75484844441676602), (49, 0.023434626243421724)]
75	[(1, 0.036891562460785787), (4, 0.62997721144071261), (5, 0.013681515888389551), (8, 0.014092913200000388), (9, 0.038113729584067696), (11, 0.011119241050247402), (13, 0.047835951916487547), (19, 0.023417522477026064), (26, 0.051274467912523068), (28, 0.017525744883753903), (35, 0.021895092959313838), (43, 0.014802904234326286), (45, 0.045480416178307712)]
76	[(17, 0.73243886464734287), (46, 0.21083286729078718)]
77	[(15, 0.96477353693943568)]
78	[(12, 0.52365940842743242), (35, 0.44647696140505877)]
79	[(5, 0.8755236250327213), (15, 0.035096679191025958), (23, 0.076073885747342543)]
80	[(4, 0.94485277406647428)]
81	[(12, 0.041313783079681234), (20, 0.019454578119218347), (48, 0.9158756007608696)]
82	[(9, 0.10830185119910701), (12, 0.82534422526006401)]
83	[(12, 0.18201721980704749), (14, 0.11234289059529161), (34, 0.021999395703714203), (46, 0.47075088835858037), (48, 0.19441445756688219)]
84	[(9, 0.80623316716056437), (27, 0.13410520624648262)]
85	[(12, 0.24411613261726908), (40, 0.69624862092637885)]
86	[(23, 0.7489816703089115), (27, 0.18020084901053873)]
87	[(2, 0.36360601420181882), (12, 0.59268513897982744)]
88	[(5, 0.94225359241832418)]
89	[(12, 0.29280711870764364), (15, 0.052267667062732059), (20, 0.078604362728926735), (22, 0.34084508724818113), (26, 0.18447383735060224)]
90	[(0, 0.056620113734434319), (5, 0.021612330674061538), (6, 0.059187971379220591), (15, 0.018625991711229809), (21, 0.079708939275967658), (25, 0.35585000827853003), (26, 0.016933538730889829), (28, 0.017673153247704378), (30, 0.020470911085160717), (34, 0.04118112540777074), (35, 0.017396044824033584), (42, 0.011745280582086371), (46, 0.046163548649245816), (49, 0.2114459224329556)]
91	[(0, 0.031803233346085279), (1, 0.46749869178337167), (16, 0.21687814452425308), (19, 0.10237388002674742), (35, 0.050300574635867533), (44, 0.12668042614670133)]
92	[(16, 0.87799495958777496), (25, 0.033670689812812044), (28, 0.026470816584689281), (44, 0.032363700943531665)]
93	[(9, 0.58909815295202028), (10, 0.045000463489714211), (17, 0.010222969386739172), (19, 0.043617955009461147), (23, 0.051994089658545739), (27, 0.084406246079129083), (32, 0.076721413631023361), (35, 0.077469606075782252)]
94	[(22, 0.20478113777852566), (49, 0.57611631760244897)]
95	[(24, 0.77485513265728412)]
96	[(9, 0.38403335231500246), (12, 0.58116906420157144), (14, 0.027316462229609279)]
97	[(47, 0.91802532936752179), (48, 0.053442007254218646)]
98	[(16, 0.30844116770708097), (26, 0.39359653226463948), (30, 0.02985634398398735), (48, 0.23170421644038136)]
99	[(9, 0.1853256872737532), (12, 0.57667239692400829), (27, 0.074117778257933697), (29, 0.02263290770309365), (31, 0.10716952735021172), (32, 0.017989136084007033)]
100	[(4, 0.045203833755875146), (7, 0.01926904210055114), (15, 0.74741827717169806), (25, 0.0581876649576369), (45, 0.11844050598904871)]
101	[(4, 0.46731055127467019), (18, 0.16006269667049725), (38, 0.07004634887158942), (49, 0.30003531152685564)]
102	[(9, 0.075098021432422543), (12, 0.47709215808197403), (13, 0.011363500102730991), (16, 0.039459368567788061), (29, 0.39179330637338622)]
103	[(1, 0.01089168982920781), (3, 0.2223536557000132), (12, 0.020113303738872122), (15, 0.010146976591668031), (16, 0.26071120265106895), (24, 0.20857882703330544), (26, 0.099746442627247259), (28, 0.023693925218322708), (34, 0.023311235689931573), (42, 0.032942228100899085), (44, 0.029400099835194596)]
104	[(1, 0.6249527595721478), (4, 0.19803560404933043), (19, 0.059124400802916005), (33, 0.018766977797661795), (34, 0.076301676923943101), (35, 0.020607457407928818)]
105	[(2, 0.010519657965056731), (4, 0.53015094139500496), (5, 0.013966980084425148), (19, 0.060387803284168297), (22, 0.029731141354108561), (26, 0.089773645364743304), (27, 0.015767003706546951), (28, 0.013989984533411133), (35, 0.035229150767023064), (42, 0.15326907103026882)]
106	[(0, 0.038083711565698106), (8, 0.45251372061709405), (9, 0.069999032251822538), (10, 0.017327035701640948), (12, 0.20585567650587078), (19, 0.026274766759227661), (21, 0.026894425728999055), (26, 0.085521391518174728), (35, 0.018809624700503635), (48, 0.051856334537072335)]
